DISTRICT,Agricultural Household Population(aged 15 years and above),Agricultural Operators No,Agriculture Operators %,Members Contributing agri. activities No,Members Contributing agri. activities %,Members not contributing agri. activities No,Members not contributing agri. activities %
COLOMBO,103029,34391,33.4,18461,17.9,50177,48.7
GAMPAHA,325015,110889,34.1,65403,20.1,148724,45.8
KALUTARA,277760,97814,35.2,59675,21.5,120271,43.3
KANDY,391339,139061,35.5,99778,25.5,152500,39
MATALE,226693,78180,34.5,71050,31.3,77463,34.2
NUWARA ELIYA,260376,85162,32.7,103374,39.7,71840,27.6
GALLE,383163,129101,33.7,92879,24.2,161184,42.1
MATARA,314521,110426,35.1,78833,25.1,125262,39.8
HAMBANTOTA,298238,106035,35.6,82991,27.8,109213,36.6
JAFFNA,139012,43416,31.2,28197,20.3,67398,48.5
MANNAR,24424,9261,37.9,2543,10.4,12620,51.7
VAVUNIYA,68029,25371,37.3,19325,28.4,23333,34.3
MULLAITIVU,59439,22532,37.9,17509,29.5,19397,32.6
KILINOCHCHI,57732,22282,38.6,9787,17,25663,44.4
BATTICALOA,97193,34462,35.5,14518,14.9,48213,49.6
AMPARA,188304,69244,36.8,46064,24.5,72996,38.7
TRINCOMALEE,78463,33395,42.6,8746,11.1,36323,46.3
KURUNEGALA,802962,290552,36.2,206382,25.7,306028,38.1
PUTTALAM,237332,91598,38.6,47222,19.9,98512,41.5
ANURADHAPURA,490171,182834,37.3,150813,30.8,156523,31.9
POLONNARUWA,219406,79613,36.3,61065,27.8,78729,35.9
BADULLA,356576,128770,36.1,109458,30.7,118349,33.2
MONERAGALA,261817,104642,40,71393,27.3,85782,32.7
RATNAPURA,447788,172231,38.5,123687,27.6,151870,33.9
KEGALLE,294903,110081,37.3,75240,25.5,109581,37.2
,,,,,,,
,,,,,,,
